datetime_,temp_
20201109-15:20,24.1
20201109-15:25,24.1
20201109-15:30,24.1
20201109-15:35,24.2
20201109-15:40,24.3
20201109-15:45,24.2
20201109-15:50,24.2
20201109-15:55,24.2
20201109-16:00,24.3
20201109-16:05,24.6
20201109-16:10,24.8
20201109-16:15,24.9
20201109-16:20,24.8
20201109-16:25,24.9
20201109-16:30,24.7
20201109-16:35,24.7
20201109-16:40,24.7
20201109-16:45,24.7
20201109-16:50,24.8
20201109-16:55,24.8
20201109-17:00,24.8
20201109-17:05,24.8
20201109-17:10,24.8
20201109-17:15,24.8
20201109-17:20,24.8
20201109-17:25,25
20201109-17:30,25
20201109-17:35,25
20201109-17:40,25
20201109-17:45,24.9
20201109-17:50,25
20201109-17:55,25
20201109-18:00,25
20201109-18:05,25
20201109-18:10,25
20201109-18:15,25
20201109-18:20,25.1
20201109-18:25,25.1
20201109-18:30,25
20201109-18:35,25.1
20201109-18:40,25.1
20201109-18:45,25.1
20201109-18:50,25.1
20201109-18:55,25.1
20201109-19:00,25.1
20201109-19:05,25.1
20201109-19:10,25.1
20201109-19:15,25.2
20201109-19:20,25.2
20201109-19:25,25.2
20201109-19:30,25.1
20201109-19:35,25.1
20201109-19:40,25.2
20201109-19:45,25.2
20201109-19:50,25.1
20201109-19:55,25.2
20201109-20:00,25.2
20201109-20:05,25.1
20201109-20:10,25.1
20201109-20:15,25.2
20201109-20:20,25
20201109-20:25,25
20201109-20:30,25.1
20201109-20:35,25.1
20201109-20:40,25
20201109-20:45,25
20201109-20:50,25
20201109-20:55,25.1
20201109-21:00,25.1
20201109-21:05,25
20201109-21:10,25
20201109-21:15,25
20201109-21:20,25
20201109-21:25,25
20201109-21:30,25
20201109-21:35,25
20201109-21:40,24.9
20201109-21:45,25
20201109-21:50,24.9
20201109-21:55,24.9
20201109-22:00,25
20201109-22:05,24.9
20201109-22:10,24.9
20201109-22:15,24.9
20201109-22:20,24.9
20201109-22:25,24.9
20201109-22:30,24.9
20201109-22:35,24.9
20201109-22:40,24.9
20201109-22:45,24.8
20201109-22:50,24.8
20201109-22:55,24.8
20201109-23:00,24.8
20201109-23:05,24.8
20201109-23:10,24.8
20201109-23:15,24.8
20201109-23:20,24.8
20201109-23:25,24.7
20201109-23:30,24.7
20201109-23:35,24.7
20201109-23:40,24.7
20201109-23:45,24.7
20201109-23:50,24.7
20201109-23:55,24.7
20201110-00:00,24.6
20201110-00:05,24.7
20201110-00:10,24.7
20201110-00:15,24.7
20201110-00:20,24.7
20201110-00:25,24.7
20201110-00:30,24.6
20201110-00:35,24.7
20201110-00:40,24.6
20201110-00:45,24.6
20201110-00:50,24.6
20201110-00:55,24.6
20201110-01:00,24.4
20201110-01:05,24.6
20201110-01:10,24.4
20201110-01:15,24.4
20201110-01:20,24.3
20201110-01:25,24.4
20201110-01:30,24.3
20201110-01:35,24.3
20201110-01:40,24.3
20201110-01:45,24.3
20201110-01:50,24.3
20201110-01:55,24.3
20201110-02:00,24.4
20201110-02:05,24.4
20201110-02:10,24.3
20201110-02:15,24.2
20201110-02:20,24.3
20201110-02:25,24.2
20201110-02:30,24.2
20201110-02:35,24.1
20201110-02:40,24.2
20201110-02:45,24.1
20201110-02:50,24.1
20201110-02:55,24.1
20201110-03:00,24.1
20201110-03:05,24.1
20201110-03:10,24.1
20201110-03:15,24.1
20201110-03:20,24
20201110-03:25,24
20201110-03:30,24
20201110-03:35,24
20201110-03:40,24
20201110-03:45,24
20201110-03:50,24
20201110-03:55,24
20201110-04:00,23.9
20201110-04:05,23.9
20201110-04:10,23.8
20201110-04:15,23.8
20201110-04:20,23.8
20201110-04:25,23.8
20201110-04:30,23.8
20201110-04:35,23.8
20201110-04:40,23.8
20201110-04:45,23.8
20201110-04:50,23.8
20201110-04:55,23.7
20201110-05:00,23.8
20201110-05:05,23.7
20201110-05:10,23.7
20201110-05:15,23.7
20201110-05:20,23.7
20201110-05:25,23.7
20201110-05:30,23.7
20201110-05:35,23.6
20201110-05:40,23.6
20201110-05:45,23.6
20201110-05:50,23.6
20201110-05:55,23.6
20201110-06:00,23.5
20201110-06:05,23.4
20201110-06:10,23.5
20201110-06:15,23.5
20201110-06:20,23.4
20201110-06:25,23.5
20201110-06:30,23.4
20201110-06:35,23.5
20201110-06:40,23.4
20201110-06:45,23.3
20201110-06:50,23.4
20201110-06:55,23.3
20201110-07:00,23.3
20201110-07:05,23.3
20201110-07:10,23.3
20201110-07:15,23.3
20201110-07:20,23.3
20201110-07:25,23.2
20201110-07:30,23.2
20201110-07:35,23.3
20201110-07:40,23.2
20201110-07:45,23.2
20201110-07:50,23.1
20201110-07:55,23.1
20201110-08:00,23.1
20201110-08:05,23.1
20201110-08:10,23.1
20201110-08:15,23.1
20201110-08:20,23
20201110-08:25,23
20201110-08:30,23
20201110-08:35,23
20201110-08:40,23
20201110-08:45,23
20201110-08:50,22.9
20201110-08:55,23
20201110-09:00,22.9
20201110-09:05,23
20201110-09:10,22.9
20201110-09:15,22.9
20201110-09:20,22.9
20201110-09:25,22.9
20201110-09:30,22.9
20201110-09:35,22.9
20201110-09:40,22.9
20201110-09:45,22.9
20201110-09:50,22.9
20201110-09:55,22.8
20201110-10:00,22.9
20201110-10:05,22.9
20201110-10:10,22.9
20201110-10:15,22.9
20201110-10:20,22.9
20201110-10:25,22.9
20201110-10:30,22.8
20201110-10:35,22.9
20201110-10:40,22.9
20201110-10:45,22.8
20201110-10:50,22.9
20201110-10:55,22.9
20201110-11:00,22.9
20201110-11:05,22.9
20201110-11:10,22.9
20201110-11:15,22.9
20201110-11:20,22.9
20201110-11:25,22.9
20201110-11:30,22.9
20201110-11:35,22.9
20201110-11:40,22.8
20201110-11:45,23
20201110-11:50,23
20201110-11:55,23
20201110-12:00,22.9
20201110-12:05,23
20201110-12:10,23
20201110-12:15,23
20201110-12:20,23
20201110-12:25,23
20201110-12:30,23
20201110-12:35,23.1
20201110-12:40,23.3
20201110-12:45,23.1
20201110-12:50,23.1
20201110-12:55,23.1
20201110-13:00,23.1
20201110-13:05,23.1
20201110-13:10,23.1
20201110-13:15,23.2
20201110-13:20,23.2
20201110-13:25,23.1
20201110-13:30,23.2
20201110-13:35,23.2
20201110-13:40,23.3
20201110-13:45,23.3
20201110-13:50,23.7
20201110-13:55,23.9
20201110-14:00,23.8
20201110-14:05,23.7
20201110-14:10,23.7
20201110-14:15,23.7
20201110-14:20,23.8
20201110-14:25,23.7
20201110-14:30,23.7
20201110-14:35,23.8
20201110-14:40,23.8
20201110-14:45,23.8
20201110-14:50,23.7
20201110-14:55,23.9
20201110-15:00,23.9
20201110-15:05,24
20201110-15:10,24
20201110-15:15,24
20201110-15:20,24
20201110-15:25,24
20201110-15:30,24
20201110-15:35,24.1
20201110-15:40,24.1
20201110-15:45,24.2
20201110-15:50,24.1
20201110-15:55,24.2
20201110-16:00,24.2
20201110-16:05,24.2
20201110-16:10,24.4
20201110-16:15,24.3
20201110-16:20,24.3
20201110-16:25,24.3
20201110-16:30,24.7
20201110-16:35,24.7
20201110-16:40,24.7
20201110-16:45,24.7
20201110-16:50,24.7
20201110-16:55,24.7
20201110-17:00,24.9
20201110-17:05,24.8
20201110-17:10,24.9
20201110-17:15,25
20201110-17:20,24.9
20201110-17:25,25
20201110-17:30,25.1
20201110-17:35,25.2
20201110-17:40,25.2
20201110-17:45,25.2
20201110-17:50,25.3
20201110-17:55,25.3
20201110-18:00,25.3
20201110-18:05,25.3
20201110-18:10,25.3
20201110-18:15,25.3
20201110-18:20,25.3
20201110-18:25,25.3
20201110-18:30,25.3
20201110-18:35,25.2
20201110-18:40,25.3
20201110-18:45,25.2
20201110-18:50,25.2
20201110-18:55,25.2
20201110-19:00,25.2
20201110-19:05,25.2
20201110-19:10,25.1
20201110-19:15,25.2
20201110-19:20,25.1
20201110-19:25,25.2
